Watch Videos
ALL IN with CHRIS HAYESMarch 16, 2018Guest: Felix Sater, Jackie Speier, Natasha Bertrand, James Henry, Evan McMullins, Maria Hinojosa, Eddie Glaude
Name: CHRIS HAYES ( MSNBC HOST) ; Gender: male ; Race:  caucasian ; Dialogue:  As the Mueller investigation officially enters Trump Tower, along-time figure in President Trump`s circle joins me live.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I went to Russia to work on a transaction. The stock – the stock case happened in `96 which I did for about 18 months. I went to Russia in `97.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  OK.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  The – what`s been reported that I ran away because – that`s not true. That`s just not true.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  You go there and one of the – one of the things you do where all these sort of different threads come together is you`re working on Trump Moscow, right?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Well, no, no, no. This is – we`re now speaking about 1997, 98 –
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Right, but I`m saying though as a person who you have contacts from Russia, you speak fluent Russian.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Later in your life you sort of become a business partner with Donald Trump. You guys work on Fort Lauderdale, right?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Fort Lauderdale, Phoenix, Trump Soho, a whole host of other projects.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Right, a bunch of different place. But you end up working on Trump Moscow.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  That`s an important project that is – that is – that produced those e-mails and everyone knows about it`s the project that a lot of people are curious about and I want to ask you about your involvement in that project and what happened to it if you would stick around after this break. Will you do that?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Absolutely.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  All right. Let`s go.
(COMMERCIAL BREAK)
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Still with me here in New York, Felix Sater. Let`s talk about this Trump Moscow deal.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Sure.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  You`re trying to build a deal there – you tried to do business in Russia with Trump. At one point, you`re over there with the Trump kids, right?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  With Ivanka and Don Junior.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  How connected are you in Russia at that point?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I know some business people there. I know enough business people to try to put together a deal, plus I speak Russian. Plus I have no problem knocking on somebody`s door and saying hi, I`m here and we`re going to build something beautiful and let`s do business.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  The Trump Moscow deal you`re pursuing, that e-mail, here`s the way people read that e-mail, is that there`s some – basically that there`s some back story here in which the deal is part of the election interference. There`s some quid pro quo or there`s some idea. And here`s the one – we talked about the “we can get our buddy elected.” But here`s the one I think is interesting in the New York Times characterized the e-mails. They said Mr. Sater was eager to show video clips to his Russian contacts of instances of Mr. Trump speaking glowingly about Russia and said, he would arrange for Mr. Putin to praise Mr. Trump`s business acumen if he says it, we own this election, Mr. Sater wrote. You wrote that?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes. I did wrote that. Yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Why did you – why in these e-mails? There`s two of them here. Why are you guys making this connection between building this building in Russia and his electoral success?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Me personally, I was trying to build the tallest building in the world or in Europe.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  One second, why is Donald Trump going to be elected President if he builds a building in Europe – in Moscow?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Well, because doing a gigantic deal, it would have looked good. It was – it was good for business. It could have potentially ushered in an era of detente or good will between the nations because a businessman came in and it`s better than politicians.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  At no point at any point did any Russian communicate to you interest in cultivating Donald Trump on behalf of the Russians, Russian government, Kremlin-friendly forces?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I have risked my life to try to protect our country for over 20 years in situations and places that would make your hair stand on end. The insinuation that I would get together with anyone, especially Russia of all places or any other country in the world for the detriment of our country is not only insulting but laughable.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  That may be the case but I`m just – did not answer the question.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I`ll be more than happy to answer the question.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Did anyone – did anyone ask – suggest to you an interest in cultivating Donald Trump on behalf of either the Kremlin, Kremlin allied forces, people in Russian intelligence when you were working on this Moscow deal?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Absolutely not.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Was it ever communicated to you that they were interested in Donald Trump for reasons other than business?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Absolutely not.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Why does the deal fall through in Moscow?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Because the Trump Organization announced that they are not going to do any more international deals.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Did you seek to acquire funding through Russian banks for the deal?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  To build a building like that in Moscow, the only banks you go to are Russian banks.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Was one of them VTB?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes. It was.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  So you did seek to acquire funding through VTB?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Well, there was developer – it wasn`t my deal. There was – I put the deal together. I came to Michael Cohen who`s old and dear friend, part of the e-mails says I`ve known him since I`m a teenager. So it`s basically two old friends saying hey, our guy can become president. We were excited. It wasn`t something surreptitious, it was two guys who knew each other over 30 years excited somebody that you –
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Wait, can I – can I say something about. I`ve heard – I`ve heard you say that before.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  And that`s true.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  I understand that. But you`re a very – you`re not a kid and not a naive dude.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  No, of course.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Right? I mean, you just told me you`ve been in situations where your hair stands on and you`ve been flipping Taliban people, you`ve been talking to La Cosa Nostra, right? The idea that this was just – do you understand why people might be skeptical this is like giddy enthusiasm?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes, I`m sure – I`m sure they are. And the e-mails may sound damning. But at the end of the day, it was e-mails between two friends about a real estate transaction and me from my – from my perspective, from my side, I`m trying to build a billion dollar deal. So the reality is, Putin, Trump, and if I knew people in China, I would have tried to get the premiere of China involved and get a trifecta going.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Let me just make sure that I nail this part down. So the people associated with the deal, you said you put the deal together, it wasn`t your deal, a developer Russia was looking to VTB for financing.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I had a local developer there and I had the Trump Organization here and I was in the middle. And the local developer there would have gotten financing from VTB and or another Russian bank but VTB was at that point the go-to bank for real estate development. That`s why VTB.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Your business has been sued before, Bayrock.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  And I want to read you part of that lawsuit and I know you deny this but I want to get you on the record.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  No problem. No problem.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  In a lawsuit that was filed by – filed by someone in Bayrock of course, was the group that helped develop Trump Soho here in New York City.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Someone that you worked with said in the lawsuit, tax evasion and money laundering are the core of Bayrock`s business model. The lawsuit alleges it said Trump Soho building specifically which you also developed with the President was a monument to spectacularly corrupt money laundering and tax evasion.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes, it was an employee who first reached out to me who said let`s get money from your partner and from the law firms and he sued me and 12 other law firms and over 100 individuals for $1 billion. Subsequently, in that lawsuit, a federal judge referred the lawyers who were handling that for criminal prosecution to the U.S. Attorney`s Office.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Do you think this is just – that`s not a denial though.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  It`s absolute denial. It`s 100 percent denial.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Did Bayrock – did Bayrock ever launder money.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Absolutely not.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Did the Trump Soho deal depend on money that was being used – purchases that were being used to mask transaction for the purpose of laundering?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  No, absolutely not.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  You can know that definitively?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Well, us building the building and the money that came from came from Tom Sapir, who was a very large landowner in the New York. That`s what we – that`s the money that we used to build it. The buyers of those units, well, like anyplace else –
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  You don`t know.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Some of them are LLCs. You don`t know who the owners are. You don`t know who`s behind it. But whether you were involved in selling to someone for the purpose of masking anything, absolutely not.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  How interested is Donald Trump and the people on the other side of the deal from him?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Like any developer, very little. If they bring a check to buy an apartment, and the check clears, they`re a good customer.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  That`s his M.O.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  No, that`s every developer in New York`s M.O.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Not every developer in New York though has run for president, right?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  True.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  So all of a sudden, you take that M.O., you put it in a different situation like would you take a meeting for dirt on your opponent, right?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I don`t know. I`m not a politician. I`m assuming every politician would but I don`t know.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  My question to you is having worked with the guy, is he the kind of person who would be open to that kind of thing?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I don`t believe that Donald Trump would – open to what type of thing money laundering?
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Accepting dirt from a foreign adversary about his opponent. We know his son said if it`s what you said, I love it, about that Trump Tower meeting. I`m asking about the President, someone who`s character you know, someone who`s business M.O. you know, and just described as a person in a development situation who`s if the other person on the side of the deal`s check clears, he doesn`t want to ask questions. My question to you is in a political context if the other person on the other side of the deal is offering dirt on his opponent, is he the kind of person who says I don`t want to know where this came from but I`ll take it.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Well, I guess from the reports of the meetings that happened, obviously the answer is yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  For Don Junior, I`m talking about the President.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I don`t know if I can answer that. I don`t know if I can answer that question. I don`t believe that Donald Trump would ever meet or collude with a foreign power against our country. I certainly would never even speak to him if I ever thought that was the case. I don`t believe that other than getting dirt on an opponent, that it was thought through a lot. I don`t believe the idea was thought through of where it was coming from, who it was coming from. It was political. Oh, we`ve got some dirt on our opponent, great, let`s take it.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Do you think the Russians meddled with the election.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  100 percent.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  What`s your feeling about that?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I think they attacked us. I think it`s an act of war and I am absolutely disgusted that our politicians are having a one and a half year post-mortem about how they meddled and what they meddled. I grew up in Brooklyn. It`s a very simple place. Somebody attacks you, you punch them back not once but twice. And at this point, doing something about it is very important for America to show everyone don`t mess with us.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  So why is – why is the man that you worked with, that you know, why is he not?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  You have to ask him that question.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  But I`m asking you because you worked with him. I didn`t.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I worked with a lot of people. I can`t speak for all of them.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  But you know something about how the guy operates, right?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes, I believe so.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Let me put it this way. There is a supposition of some that the reason that he is not acted more forcefully against Russia is because they have something on him or he is engaged in a quid pro quo. Is that plausible story to you?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  No, it is not.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  It`s not a plausible –
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I do not believe so. Look, anything`s possible. I wasn`t in every meeting. I don`t know. I wasn`t part of the campaign. I wasn`t part of the election. And I was out of the Trump Organization in 2010. That was years before and I only showed up just to do the Trump Moscow deal. I don`t believe so but I don`t – I wasn`t there and I don`t know. And I don`t believe so but if you showed me proof that it happened, I certainly would take a look and say, or course.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  One of the things the President says, I got no deals in Russia. And we know that`s true. I mean, there`s no – he doesn`t have deals in Russia, right?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  That`s right.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  No building bearing his name. The question everyone wants to know is, is there Russian money in his properties, right? The question is, was Russian money directed to his properties? Was it money that passed through different LLCs? Do you know the answer to that?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I have an assumption about that. For anyone in the Russian government to pass money through to the Trump Organization, through his properties which had to have happened way before the election, I doubt anyone has a crystal ball and truly believed that one day this developer is going to be the President of the United States so let`s start funnelling money to him.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  But they did take an interest in him.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Who?
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  The Russian. They bring him over for – they bring him over for the pageant.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes, of course. But that was business. That was business. I truly – look –
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Well, wait a second. Wait a second. This story starts with you telling me that you`re at a business meeting about the telecom industry in Russia and an American intelligence guy pulls you in the bathroom and says these are all high ranking operatives that we need to get interested. So then you can`t turn around and say that was just business because it seems like business and other things are pretty intertwined in Russia.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes, they are. 100 percent, 100 percent
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Right? I mean, so if Donald Trump`s going and he`s doing the pageant in Moscow with the Agalarovs, right? The Kremlin knows what`s going on.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Absolutely.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  They got people in the room.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  100 percent.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Right. Do you know the Agalarovs?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I`ve met one of them but I don`t know them personally well at all.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  You met them in person.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I met one in person.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Was it the son, Emin?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  In what context?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Dinner party in Moscow.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  This is my finally question for you.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Sure.
